,HUFL,HULL,MUFL,MULL,LUFL,LULL,OT,xform_HUFL,xform_HULL,xform_MUFL,xform_MULL,xform_LUFL,xform_LULL,xform_OT
0,0.35134,0.69947,0.46391,0.55327,-0.39644,0.24681,-0.86234,0.24955,0.60425,0.18037,0.62936,-0.43858,0.26774,-0.96435
1,0.06335,0.05835,0.21929,0.12916,-0.75403,0.05323,-0.86997,0.18038,0.65758,0.24253,0.76407,-0.61095,0.22186,-0.97765
2,0.14387,0.09041,0.25136,0.20287,-0.54494,0.24681,-0.83161,0.0992,0.62676,0.23036,0.76957,-0.71667,0.30091,-1.02214
3,0.02877,0.34685,0.24502,0.05545,-0.78334,0.296,-0.8776,0.4169,0.47772,0.4614,0.82634,-0.78933,0.12125,-1.00989
4,0.08623,-0.03782,0.1999,0.22156,-0.45604,0.3436,-0.91596,0.40271,0.49529,0.42911,0.8897,-0.46342,0.19182,-1.08763
5,0.08623,0.0263,0.05821,-0.16621,-0.30753,0.19921,-0.89296,0.3597,0.41266,0.50837,0.74685,-0.30543,0.2383,-0.98664
6,0.29371,0.0263,0.34794,-0.05512,0.16926,0.44039,-0.90059,0.28303,0.58744,0.16299,0.27134,0.11996,0.20432,-1.0271
7,-0.10954,-0.03782,-0.12843,-0.07381,0.25816,0.44039,-0.90059,-0.0262,0.40348,-0.1942,0.72297,0.21157,0.3097,-0.89639
8,-1.51542,0.44302,-1.62223,0.33213,0.07937,0.53717,-0.83935,-0.52507,0.46769,-0.50137,0.65758,0.09378,0.44043,-0.9813
9,-2.82891,1.02003,-2.95513,0.7931,-0.09942,0.68156,-0.83935,-1.27012,0.50008,-1.35036,0.61352,0.23144,0.45387,-0.76721
10,-3.45116,1.72478,-3.66344,1.40202,0.22788,0.73075,-0.80862,-1.90743,0.6631,-1.74715,0.75246,-0.06055,0.4436,-0.81579
11,-3.64711,2.10945,-3.88885,1.89984,0.28748,0.44039,-0.79325,-2.10138,0.62718,-2.28048,0.65443,-0.11032,0.45628,-0.84293
12,-3.58948,1.24442,-3.79861,0.99607,-0.06914,0.53717,-0.77026,-2.31065,0.35566,-2.34025,0.63287,-0.29155,0.18636,-0.81967
13,-3.18623,1.02003,-3.41882,1.05162,-0.54494,0.48957,-0.59394,-2.30585,0.48659,-2.36682,0.64826,-0.48177,0.42688,-0.76992
14,-3.37065,1.91711,-3.46376,1.56813,-0.60454,0.48957,-0.54032,-2.02663,0.21212,-1.98747,0.51963,-0.31836,0.55462,-0.83367
15,-2.61008,0.73152,-2.64601,0.60882,-0.45604,0.58478,-0.64766,-1.54624,0.02524,-1.53659,0.31708,-0.41477,0.4197,-0.71762
16,-1.30794,0.3148,-1.37761,0.29528,-0.00954,0.58478,-0.66303,-0.95135,-0.20161,-1.02989,0.04336,-0.09745,0.31571,-0.74799
17,-0.06344,-0.16604,-0.15416,-0.23992,0.55518,0.58478,-0.60167,-0.62628,-0.40038,-0.74895,-0.24427,0.04088,0.34332,-0.83381
18,-0.0058,-0.38995,-0.11556,-0.47975,0.55518,0.63396,-0.67066,-0.22888,-0.34016,-0.28565,-0.40319,0.22788,0.07961,-0.83278
19,0.05183,-0.42201,-0.16068,-0.47975,0.73397,0.44039,-0.62467,-0.29749,-0.59045,-0.42967,-0.38939,0.11492,0.25026,-0.78756
20,0.01725,-0.3579,-0.08983,-0.47975,0.58547,0.82754,-0.68602,-0.23242,-0.54403,-0.2375,-0.3848,-0.052,0.0958,-0.76498
21,-0.19023,-0.29378,-0.05124,-0.36866,-0.15902,0.73075,-0.68602,-0.1236,-0.3021,-0.30917,-0.44346,-0.13437,0.31377,-0.84089
22,0.12081,0.05835,0.11619,-0.11067,-0.15902,0.68156,-0.73964,0.04447,0.16765,-0.10977,0.19114,-0.45974,0.2592,-0.94499
23,0.57034,0.85975,0.6442,0.62699,-0.03983,0.44039,-0.8546,0.15348,0.15934,0.11337,0.6199,-0.59657,0.2807,-0.90817
24,0.40897,0.41097,0.63768,0.7931,-0.66414,0.3436,-0.86997,0.25152,0.41152,0.13649,0.77785,-0.54722,0.40446,-0.90568
25,0.68543,1.11619,0.74731,0.68253,-0.33684,0.48957,-0.95431,0.17831,0.46918,0.16432,0.68122,-0.64517,0.17485,-0.91332
26,0.66238,0.92386,0.77304,0.68253,-0.63483,0.3436,-0.93132,0.29777,0.58269,0.37225,0.76255,-0.79245,0.12534,-0.92715
27,0.67391,1.34058,0.85675,0.73808,-0.57523,0.58478,-0.98494,0.15258,0.60287,0.42192,0.80834,-0.75226,0.24346,-0.8341
28,0.70849,0.98797,0.83102,0.90367,-0.81362,0.77835,-1.0233,0.28641,0.41334,0.39136,0.8909,-0.63764,0.11853,-0.88396
29,0.55882,1.08414,0.58622,0.7931,-0.00954,0.77835,-1.01556,0.34572,0.48874,0.54646,0.54978,-0.21851,0.30853,-1.04501
30,0.89291,0.82769,0.74078,0.57196,-0.06914,0.48957,-1.05392,0.3445,0.43775,0.21259,0.47621,-0.05411,0.36995,-1.08044
31,0.62797,0.8918,0.4833,0.8855,0.52587,0.92433,-1.06928,0.03291,0.46614,-0.19961,0.59341,0.12122,0.5806,-1.00166
32,-1.08894,1.21236,-1.17793,0.9779,0.22788,1.11632,-1.05392,-0.50282,0.38387,-0.64459,0.50723,0.15412,0.35111,-0.87187
33,-2.49482,1.53244,-2.71686,1.49442,-0.06914,0.97193,-1.03092,-1.24096,0.56175,-1.46127,0.68242,0.13404,0.41663,-0.71
34,-3.42811,1.59655,-3.72142,1.54944,0.10966,0.68156,-0.86234,-1.71882,0.49391,-1.73074,0.71436,0.07695,0.43483,-0.9944
35,-3.99273,2.62234,-4.24944,2.25076,0.37736,0.73075,-0.89296,-1.99541,0.53982,-2.188,0.70841,-0.05424,0.42473,-0.93124
36,-4.48837,2.46206,-4.68069,1.80796,-0.45604,0.73075,-0.86234,-2.23065,0.35146,-2.48869,0.72307,-0.27999,0.44328,-0.8342
37,-4.55735,2.59028,-4.61002,2.30578,-0.48632,0.63396,-0.70901,-2.27617,0.47756,-2.16467,0.49198,-0.44455,0.39716,-0.68239
38,-2.01088,0.50713,-2.08592,0.27659,-0.39644,0.68156,-0.64766,-1.82726,0.21598,-2.03391,0.63966,-0.35457,0.22845,-0.78121
39,-3.02486,0.73152,-3.0711,0.60882,-0.60454,0.68156,-0.63992,-1.53674,-0.08079,-1.6647,0.26901,-0.40988,0.29297,-0.56108
40,-0.63958,-0.32584,-0.55352,-0.40604,-0.18833,0.77835,-0.6323,-0.81067,-0.23805,-1.17376,-0.03562,-0.22119,0.37514,-0.71726
41,-0.1787,-0.19762,-0.21867,-0.25809,0.19857,0.44039,-0.57094,-0.58936,-0.26356,-0.8252,-0.25187,0.04764,0.33469,-0.83381
42,-0.06344,-0.42201,-0.08983,-0.49792,0.16926,0.53717,-0.64766,-0.21186,-0.54462,-0.18358,-0.51825,0.1449,0.39045,-0.84134
43,-0.06344,-0.45406,-0.09636,-0.47975,0.13897,0.296,-0.70901,-0.07809,-0.60415,-0.37307,-0.43594,0.14641,0.26008,-0.8474
44,-0.10954,-0.3579,-0.16702,-0.47975,0.34707,0.68156,-0.73964,-0.22008,-0.51475,-0.25187,-0.45404,-0.00567,0.34637,-0.91478
45,-0.24786,-0.67845,-0.2444,-0.75644,-0.09942,0.58478,-0.80099,-0.11719,-0.49677,-0.23705,-0.35328,-0.22164,0.37609,-0.92438
46,-0.3516,-0.42201,-0.32811,-0.47975,-0.42672,0.48957,-0.80862,0.14636,0.02428,-0.03301,0.18179,-0.39358,0.1252,-0.93965
47,0.21302,0.3148,0.32221,0.33213,-0.57523,0.296,-0.80099,0.01448,0.37139,-0.00851,0.43505,-0.25992,0.36031,-0.88595
