Time,V1,V2,V3
10.02,0.2999,1.596,20.387
10.04,0.5376,1.6329,19.3415
10.06,0.7433,1.7175,18.358
10.08,0.9317,1.8517,17.4337
10.1,1.1151,2.0384,16.567
10.12,1.3044,2.2818,15.7575
10.14,1.5093,2.5882,15.0058
10.16,1.7391,2.9659,14.3142
10.18,2.0032,3.4256,13.6871
10.2,2.3114,3.9806,13.1316
10.22,2.6746,4.6468,12.6589
10.24,3.1045,5.4424,12.285
10.26,3.6144,6.3874,12.0336
10.28,4.2187,7.5017,11.9379
10.3,4.9327,8.8026,12.0439
10.32,5.7714,10.2988,12.4136
10.34,6.7471,11.9821,13.1272
10.36,7.8658,13.8137,14.2821
10.38,9.1213,15.7063,15.9858
10.4,10.4863,17.5035,18.3344
10.42,11.9026,18.9673,21.3734
10.44,13.2724,19.7891,25.039
10.46,14.4572,19.6485,29.0982
10.48,15.2929,18.3254,33.1286
10.5,15.6251,15.8313,36.5884
10.52,15.3575,12.4736,38.9847
10.54,14.4894,8.7791,40.0591
10.56,13.1216,5.3004,39.8688
10.58,11.424,2.4293,38.7132
10.6,9.5845,0.3218,36.9751
10.62,7.7659,-1.061,34.9861
10.64,6.0834,-1.8621,32.9687
10.66,4.6017,-2.2506,31.0414
10.68,3.3448,-2.3765,29.2502
10.7,2.3082,-2.3551,27.6014
10.72,1.4706,-2.2672,26.0835
10.74,0.8026,-2.1654,24.6803
10.76,0.2729,-2.0821,23.3768
10.78,-0.1491,-2.0362,22.1606
10.8,-0.4905,-2.038,21.0226
10.82,-0.7754,-2.093,19.9564
10.84,-1.0238,-2.2047,18.9577
10.86,-1.253,-2.3761,18.0239
10.88,-1.4776,-2.6111,17.1541
10.9,-1.7104,-2.9148,16.349
10.92,-1.9631,-3.2944,15.6108
10.94,-2.2466,-3.7594,14.9445
10.96,-2.5719,-4.3215,14.3578
10.98,-2.9503,-4.995,13.8623
11,-3.3939,-5.7957,13.4754
11.02,-3.9155,-6.7406,13.2213
11.04,-4.5285,-7.8456,13.1339
11.06,-5.2467,-9.1224,13.259
11.08,-6.0825,-10.5726,13.6567
11.1,-7.0448,-12.1793,14.4021
11.12,-8.1351,-13.8944,15.5832
11.14,-9.3418,-15.6229,17.2901
11.16,-10.6325,-17.2077,19.5939
11.18,-11.9458,-18.4243,22.509
11.2,-13.1859,-18.9999,25.9433
11.22,-14.2244,-18.6726,29.6553
11.24,-14.9174,-17.2896,33.2532
11.26,-15.1377,-14.9067,36.2695
11.28,-14.8142,-11.8212,38.3049
11.3,-13.9599,-8.4925,39.1693
11.32,-12.6713,-5.3822,38.9314
11.34,-11.0996,-2.8115,37.8502
11.36,-9.4088,-0.9082,36.248
11.38,-7.7404,0.3587,34.4056
11.4,-6.1954,1.1075,32.5158
11.42,-4.8321,1.4804,30.6866
11.44,-3.6731,1.6063,28.9646
11.46,-2.7164,1.5865,27.361
11.48,-1.9445,1.493,25.8704
11.5,-1.3324,1.3736,24.4813
11.52,-0.853,1.258,23.1821
11.54,-0.4796,1.163,21.9626
11.56,-0.1885,1.0976,20.8148
11.58,0.0411,1.0657,19.7323
11.6,0.2266,1.0688,18.7103
11.62,0.3823,1.1072,17.7451
11.64,0.5202,1.1816,16.8336
11.66,0.6499,1.2929,15.9734
11.68,0.7799,1.4435,15.1629
11.7,0.9177,1.6371,14.4008
11.72,1.07,1.8793,13.6869
11.74,1.2437,2.1774,13.0217
11.76,1.4459,2.5409,12.4071
11.78,1.6844,2.982,11.8468
11.8,1.9681,3.5154,11.3469
11.82,2.307,4.1588,10.9172
11.84,2.713,4.9329,10.5721
11.86,3.1998,5.861,10.3334
11.88,3.783,6.9681,10.2324
11.9,4.4798,8.2784,10.3139
11.92,5.3085,9.8109,10.6398
11.94,6.2861,11.5705,11.2941
11.96,7.4252,13.5347,12.3842
11.98,8.728,15.633,14.0378
12,10.1769,17.7204,16.3858
12.02,11.7221,19.5525,19.5235
12.04,13.2688,20.7821,23.443
12.06,14.6699,21.0059,27.9486
12.08,15.7357,19.8893,32.6002
12.1,16.2707,17.3438,36.7586
12.12,16.133,13.6556,39.777
12.14,15.2913,9.4361,41.2605
12.16,13.8433,5.3858,41.2185
12.18,11.9827,2.0263,39.9995
12.2,9.9344,-0.4246,38.0823
12.22,7.8963,-2.0087,35.8862
12.24,6.0081,-2.9059,33.6866
12.26,4.3471,-3.3272,31.6223
12.28,2.9407,-3.4565,29.74
12.3,1.7819,-3.4318,28.0383
12.32,0.8444,-3.347,26.4967
12.34,0.0928,-3.2626,25.0914
12.36,-0.5102,-3.2148,23.8022
12.38,-1.0004,-3.2248,22.6139
12.4,-1.4099,-3.3042,21.5165
12.42,-1.7667,-3.46,20.5038
12.44,-2.0946,-3.697,19.5736
12.46,-2.414,-4.0198,18.7265
12.48,-2.7424,-4.4337,17.966
12.5,-3.0954,-4.9456,17.2994
12.52,-3.487,-5.5637,16.7375
12.54,-3.9303,-6.2971,16.2963
12.56,-4.4377,-7.1546,15.9977
12.58,-5.0207,-8.143,15.871
12.6,-5.6897,-9.2639,15.9543
12.62,-6.4525,-10.5088,16.2949
12.64,-7.3124,-11.8527,16.9481
