./GMNet_PosX_EDim_T0.4.pkl,./GMNet_PosX_EDim_T0.605.pkl,./GMNet_PosX_EDim_T0.61.pkl,./GMNet_PosX_EDim_T0.5.pkl,./GMNet_PosX_EDim_T0.6.pkl
mPFC_47,CA1_108,mPFC_82,CA1_51,CA1_108
head_position_x,head_position_x,head_position_x,head_position_x,head_position_x
CA1_118,mPFC_82,CA1_9,mPFC_83,mPFC_82
mPFC_78,CA1_9,CA1_81,CA1_127,CA1_9
OFC_227,CA1_81,CA1_137,CA1_122,CA1_81
CA1_77,CA1_137,CA1_92,CA1_114,CA1_137
CA1_29,OFC_184,CA1_15,CA1_46,OFC_184
CA1_58,OFC_213,,CA1_133,OFC_213
CA1_103,CA1_14,,CA1_68,CA1_14
CA1_96,CA1_15,,CA1_108,CA1_15
mPFC_63,CA1_127,,mPFC_33,CA1_127
OFC_44,CA1_111,,mPFC_72,CA1_111
OFC_86,OFC_81,,mPFC_5,OFC_81
mPFC_5,OFC_214,,OFC_214,OFC_209
mPFC_1,OFC_227,,OFC_133,OFC_214
CA1_61,OFC_223,,CA1_10,OFC_227
CA1_51,OFC_215,,CA1_27,OFC_223
CA1_20,CA1_107,,mPFC_76,CA1_107
OFC_129,OFC_113,,OFC_209,OFC_215
CA1_79,OFC_209,,OFC_165,OFC_113
CA1_121,OFC_165,,OFC_223,OFC_165
mPFC_60,CA1_124,,mPFC_1,CA1_124
CA1_88,CA1_78,,OFC_86,CA1_78
mPFC_58,CA1_3,,OFC_222,OFC_5
OFC_67,CA1_96,,CA1_137,CA1_3
OFC_126,CA1_41,,CA1_77,CA1_96
OFC_15,CA1_28,,CA1_64,CA1_41
OFC_29,CA1_55,,CA1_146,CA1_28
CA1_27,CA1_122,,CA1_0,CA1_122
OFC_190,OFC_129,,CA1_20,OFC_129
OFC_62,OFC_191,,mPFC_82,CA1_55
OFC_182,OFC_44,,mPFC_55,CA1_13
CA1_127,OFC_5,,CA1_14,OFC_191
mPFC_55,mPFC_1,,CA1_55,OFC_44
CA1_21,OFC_161,,CA1_41,mPFC_1
OFC_5,CA1_29,,OFC_213,OFC_161
mPFC_72,OFC_86,,CA1_124,CA1_27
CA1_55,OFC_133,,CA1_28,OFC_143
CA1_53,mPFC_9,,OFC_227,mPFC_22
mPFC_83,mPFC_51,,OFC_67,OFC_86
CA1_108,OFC_143,,OFC_5,OFC_133
CA1_124,OFC_178,,CA1_78,mPFC_9
OFC_191,CA1_109,,OFC_161,mPFC_51
CA1_3,CA1_117,,OFC_215,OFC_222
CA1_107,CA1_13,,mPFC_51,CA1_109
OFC_184,mPFC_21,,CA1_3,CA1_29
OFC_209,mPFC_80,,CA1_107,OFC_178
OFC_113,CA1_60,,OFC_191,mPFC_83
mPFC_33,CA1_79,,CA1_136,mPFC_80
CA1_14,CA1_103,,mPFC_58,CA1_117
OFC_215,,,OFC_169,mPFC_78
mPFC_9,,,mPFC_78,mPFC_55
CA1_64,,,CA1_96,mPFC_41
CA1_100,,,OFC_129,CA1_60
mPFC_64,,,CA1_111,OFC_0
OFC_222,,,CA1_69,mPFC_3
OFC_203,,,CA1_54,mPFC_50
mPFC_75,,,CA1_50,CA1_79
CA1_28,,,OFC_44,CA1_93
OFC_178,,,mPFC_22,CA1_126
CA1_117,,,mPFC_80,mPFC_34
CA1_68,,,CA1_4,CA1_103
CA1_109,,,mPFC_41,OFC_155
CA1_131,,,mPFC_4,CA1_47
CA1_13,,,CA1_8,CA1_25
CA1_113,,,CA1_81,CA1_26
mPFC_80,,,OFC_184,CA1_50
CA1_74,,,OFC_81,OFC_177
mPFC_22,,,mPFC_9,CA1_34
OFC_161,,,OFC_167,CA1_116
CA1_78,,,mPFC_21,
OFC_165,,,OFC_192,
OFC_81,,,OFC_113,
OFC_223,,,CA1_95,
OFC_133,,,OFC_185,
mPFC_21,,,CA1_11,
CA1_41,,,OFC_178,
CA1_122,,,OFC_143,
OFC_180,,,CA1_61,
mPFC_82,,,CA1_75,
OFC_169,,,CA1_85,
CA1_15,,,CA1_92,
mPFC_3,,,CA1_126,
OFC_232,,,CA1_34,
mPFC_19,,,OFC_200,
CA1_73,,,mPFC_50,
CA1_75,,,CA1_15,
CA1_69,,,mPFC_20,
OFC_214,,,OFC_29,
mPFC_34,,,CA1_66,
OFC_233,,,CA1_100,
mPFC_4,,,CA1_76,
mPFC_41,,,CA1_38,
OFC_185,,,CA1_44,
mPFC_85,,,CA1_52,
CA1_85,,,CA1_32,
mPFC_59,,,CA1_131,
OFC_167,,,OFC_218,
CA1_93,,,mPFC_34,
OFC_143,,,CA1_93,
OFC_31,,,CA1_98,
OFC_208,,,CA1_99,
mPFC_51,,,CA1_132,
CA1_8,,,CA1_113,
CA1_4,,,CA1_24,
CA1_111,,,CA1_125,
CA1_120,,,CA1_48,
OFC_221,,,CA1_120,
CA1_11,,,CA1_6,
OFC_218,,,CA1_87,
OFC_0,,,CA1_74,
mPFC_76,,,CA1_103,
CA1_39,,,mPFC_67,
CA1_62,,,CA1_16,
OFC_213,,,CA1_116,
CA1_138,,,CA1_47,
mPFC_36,,,CA1_128,
mPFC_20,,,OFC_212,
CA1_60,,,OFC_61,
CA1_0,,,OFC_232,
mPFC_50,,,mPFC_3,
CA1_98,,,CA1_57,
OFC_26,,,CA1_58,
CA1_110,,,CA1_104,
CA1_6,,,CA1_82,
mPFC_48,,,CA1_101,
CA1_76,,,CA1_86,
CA1_92,,,CA1_2,
CA1_10,,,CA1_23,
OFC_82,,,CA1_63,
CA1_50,,,CA1_56,
OFC_206,,,CA1_18,
OFC_179,,,CA1_79,
OFC_107,,,OFC_155,
mPFC_23,,,OFC_177,
CA1_81,,,OFC_0,
OFC_57,,,CA1_21,
OFC_225,,,CA1_73,
OFC_117,,,CA1_53,
OFC_210,,,CA1_59,
OFC_61,,,CA1_43,
OFC_155,,,CA1_45,
CA1_94,,,CA1_129,
CA1_128,,,CA1_141,
CA1_44,,,CA1_143,
CA1_52,,,CA1_1,
CA1_32,,,CA1_112,
OFC_149,,,CA1_60,
OFC_116,,,CA1_84,
mPFC_56,,,CA1_39,
OFC_207,,,CA1_40,
OFC_85,,,CA1_102,
mPFC_68,,,CA1_117,
CA1_2,,,CA1_109,
CA1_48,,,CA1_13,
CA1_23,,,CA1_29,
CA1_66,,,CA1_88,
OFC_158,,,CA1_118,
CA1_9,,,,
CA1_26,,,,
OFC_74,,,,
CA1_33,,,,
OFC_212,,,,
CA1_99,,,,
CA1_145,,,,
CA1_7,,,,
CA1_80,,,,
CA1_104,,,,
CA1_95,,,,
CA1_24,,,,
CA1_125,,,,
CA1_38,,,,
CA1_137,,,,
CA1_67,,,,
OFC_177,,,,
OFC_211,,,,
OFC_25,,,,
CA1_116,,,,
OFC_230,,,,
CA1_114,,,,
mPFC_13,,,,
mPFC_67,,,,
CA1_16,,,,
CA1_126,,,,
CA1_34,,,,
CA1_47,,,,
OFC_120,,,,
mPFC_44,,,,
OFC_101,,,,
mPFC_8,,,,
CA1_72,,,,
CA1_70,,,,
mPFC_24,,,,
CA1_18,,,,
CA1_132,,,,
CA1_87,,,,
mPFC_74,,,,
CA1_59,,,,
CA1_143,,,,
CA1_83,,,,
OFC_130,,,,
mPFC_14,,,,
mPFC_54,,,,
OFC_200,,,,
CA1_141,,,,
CA1_112,,,,
mPFC_73,,,,
CA1_102,,,,
CA1_101,,,,
CA1_42,,,,
CA1_84,,,,
mPFC_53,,,,
CA1_25,,,,
CA1_45,,,,
CA1_86,,,,
CA1_136,,,,
CA1_130,,,,
CA1_12,,,,
CA1_129,,,,
CA1_54,,,,
CA1_146,,,,
